tablename,policyname,roles,cmd,qual,with_check
data_posbankum,Public read data_posbankum landing,"{anon,authenticated}",SELECT,true,null
data_posbankum,admin_verifikasi_data_posbankum_select,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND ((p.role)::text = 'admin'::text))))",null
data_posbankum,admin_verifikasi_data_posbankum_update,{authenticated},UPDATE,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND ((p.role)::text = 'admin'::text))))","(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND ((p.role)::text = 'admin'::text))))"
data_posbankum,posbankum_insert_own_data_posbankum,{authenticated},INSERT,null,(id_posbankum = get_my_posbankum_id())
data_posbankum,posbankum_select_own_data_posbankum,{authenticated},SELECT,(id_posbankum = get_my_posbankum_id()),null
data_posbankum,posbankum_update_own_data_posbankum,{authenticated},UPDATE,(id_posbankum = get_my_posbankum_id()),(id_posbankum = get_my_posbankum_id())
kabupaten,Public read kabupaten landing,"{anon,authenticated}",SELECT,true,null
masyarakat,Baca data masyarakat sendiri,{public},SELECT,(auth.uid() = id),null
masyarakat,Update data masyarakat sendiri,{public},UPDATE,(auth.uid() = id),(auth.uid() = id)
kecamatan,Public read kecamatan landing,"{anon,authenticated}",SELECT,true,null
pengaduan_lampiran,lampiran_delete_own_posbankum,{authenticated},DELETE,"(EXISTS ( SELECT 1
   FROM (pengaduan pg
     JOIN profiles p ON ((p.id = auth.uid())))
  WHERE ((pg.id_pengaduan = pengaduan_lampiran.id_pengaduan) AND (pg.id_posbankum = p.id_posbankum))))",null
pengaduan_lampiran,lampiran_insert_own_posbankum,{authenticated},INSERT,null,"(EXISTS ( SELECT 1
   FROM (pengaduan pg
     JOIN profiles p ON ((p.id = auth.uid())))
  WHERE ((pg.id_pengaduan = pengaduan_lampiran.id_pengaduan) AND (pg.id_posbankum = p.id_posbankum))))"
pengaduan_lampiran,lampiran_select_own_posbankum,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM (pengaduan pg
     JOIN profiles p ON ((p.id = auth.uid())))
  WHERE ((pg.id_pengaduan = pengaduan_lampiran.id_pengaduan) AND (pg.id_posbankum = p.id_posbankum))))",null
pengaduan_lampiran,pelapor_bisa_insert_lampiran,{authenticated},INSERT,null,true
pengaduan_lampiran,pelapor_bisa_lihat_lampiran,{authenticated},SELECT,true,null
pengaduan_lampiran,pengaduan_lampiran_delete_policy,{authenticated},DELETE,"(EXISTS ( SELECT 1
   FROM (pengaduan p
     JOIN profiles pr ON ((pr.id = auth.uid())))
  WHERE ((p.id_pengaduan = pengaduan_lampiran.id_pengaduan) AND (pr.role = 'admin'::user_role))))",null
pengaduan_lampiran,pengaduan_lampiran_insert_policy,{authenticated},INSERT,null,"(EXISTS ( SELECT 1
   FROM (pengaduan p
     JOIN profiles pr ON ((pr.id = auth.uid())))
  WHERE ((p.id_pengaduan = pengaduan_lampiran.id_pengaduan) AND ((pr.role = 'admin'::user_role) OR ((pr.role = 'posbankum'::user_role) AND (pr.id_posbankum = p.id_posbankum))))))"
pengaduan_lampiran,pengaduan_lampiran_select_policy,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM (pengaduan p
     JOIN profiles pr ON ((pr.id = auth.uid())))
  WHERE ((p.id_pengaduan = pengaduan_lampiran.id_pengaduan) AND ((pr.role = 'admin'::user_role) OR ((pr.role = 'posbankum'::user_role) AND (pr.id_posbankum = p.id_posbankum))))))",null
pengaduan_lampiran,pengaduan_lampiran_update_policy,{authenticated},UPDATE,"(EXISTS ( SELECT 1
   FROM (pengaduan p
     JOIN profiles pr ON ((pr.id = auth.uid())))
  WHERE ((p.id_pengaduan = pengaduan_lampiran.id_pengaduan) AND ((pr.role = 'admin'::user_role) OR ((pr.role = 'posbankum'::user_role) AND (pr.id_posbankum = p.id_posbankum))))))","(EXISTS ( SELECT 1
   FROM (pengaduan p
     JOIN profiles pr ON ((pr.id = auth.uid())))
  WHERE ((p.id_pengaduan = pengaduan_lampiran.id_pengaduan) AND ((pr.role = 'admin'::user_role) OR ((pr.role = 'posbankum'::user_role) AND (pr.id_posbankum = p.id_posbankum))))))"
kelurahan,Public read kelurahan,"{anon,authenticated}",SELECT,true,null
lihat_kasus,Public read lihat_kasus landing,"{anon,authenticated}",SELECT,true,null
notifikasi,admin_insert_notifikasi,{authenticated},INSERT,null,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND ((p.role)::text = 'admin'::text))))"
notifikasi,posbankum can delete own notifications,{authenticated},DELETE,"(id_posbankum IN ( SELECT p.id_posbankum
   FROM profiles p
  WHERE (p.id = auth.uid())))",null
notifikasi,posbankum can read own notifications,{authenticated},SELECT,"(id_posbankum IN ( SELECT p.id_posbankum
   FROM profiles p
  WHERE (p.id = auth.uid())))",null
notifikasi,posbankum can update own notifications,{authenticated},UPDATE,"(id_posbankum IN ( SELECT p.id_posbankum
   FROM profiles p
  WHERE (p.id = auth.uid())))","(id_posbankum IN ( SELECT p.id_posbankum
   FROM profiles p
  WHERE (p.id = auth.uid())))"
profiles,Baca profil sendiri,{public},SELECT,(auth.uid() = id),null
profiles,Update profil sendiri,{public},UPDATE,(auth.uid() = id),null
paralegal_members,Public read paralegal landing,"{anon,authenticated}",SELECT,true,null
paralegal_members,paralegal_members_authenticated_delete,{authenticated},DELETE,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (((p.role)::text = 'admin'::text) OR (p.id_posbankum = paralegal_members.id_posbankum)))))",null
paralegal_members,paralegal_members_authenticated_insert,{authenticated},INSERT,null,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (((p.role)::text = 'admin'::text) OR (p.id_posbankum = paralegal_members.id_posbankum)))))"
paralegal_members,paralegal_members_authenticated_select,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (((p.role)::text = 'admin'::text) OR (p.id_posbankum = paralegal_members.id_posbankum)))))",null
paralegal_members,paralegal_members_authenticated_update,{authenticated},UPDATE,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (((p.role)::text = 'admin'::text) OR (p.id_posbankum = paralegal_members.id_posbankum)))))","(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (((p.role)::text = 'admin'::text) OR (p.id_posbankum = paralegal_members.id_posbankum)))))"
kasus,Public read kasus landing,"{anon,authenticated}",SELECT,true,null
kasus,posbankum insert own kasus,{authenticated},INSERT,null,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.id_posbankum = kasus.id_posbankum))))"
posbankum,Public read posbankum landing,"{anon,authenticated}",SELECT,true,null
posbankum,admin_verifikasi_posbankum_select,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND ((p.role)::text = 'admin'::text))))",null
posbankum,admin_verifikasi_posbankum_update,{authenticated},UPDATE,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND ((p.role)::text = 'admin'::text))))","(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND ((p.role)::text = 'admin'::text))))"
posbankum,posbankum_admin_all,{public},ALL,is_admin(),is_admin()
posbankum,posbankum_select_own,{public},SELECT,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = 'posbankum'::user_role) AND (p.id_posbankum = posbankum.id_posbankum))))",null
posbankum,posbankum_update_own,{authenticated},UPDATE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.id_posbankum = posbankum.id_posbankum))))","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.id_posbankum = posbankum.id_posbankum))))"
pengaduan,pelapor_bisa_insert_pengaduan,{authenticated},INSERT,null,((auth.uid() = created_by) OR (auth.uid() = masyarakat_id))
pengaduan,pelapor_bisa_lihat_pengaduannya_sendiri,{authenticated},SELECT,((auth.uid() = created_by) OR (auth.uid() = masyarakat_id)),null
pengaduan,pelapor_bisa_update_pengaduannya_sendiri,{authenticated},UPDATE,((auth.uid() = created_by) OR (auth.uid() = masyarakat_id)),null
